epoch,train_loss,train_acc,test_loss,test_acc,orth_loss,avg_cos_sim,avg_cos_sim_sq
0,1.5440795024236043,40.725,1.315793715417385,48.05,0.0,0.18070877995342016,0.050823508063331246
1,1.1605828224666535,55.7125,1.0750593468546867,58.15,0.0,0.1519444677978754,0.03840568312443793
2,0.9717751864403014,62.1875,0.9436637163162231,62.75,0.0,0.1321651735343039,0.03369133686646819
3,0.8380398665155683,67.825,0.877237394452095,65.75,0.0,0.116879727342166,0.02773974626325071
4,0.7205707638982742,72.25,0.823893591761589,67.85,0.0,0.11117624491453171,0.02633061772212386
5,0.6302020213906727,75.5125,0.7960718609392643,69.4,0.0,0.10064999503083527,0.02615754073485732
6,0.5678265198828683,78.125,0.6851494237780571,74.85,0.0,0.08979741801158525,0.024336714297533035
7,0.5053914515745073,80.625,0.6940928027033806,72.4,0.0,0.08266437810380012,0.02221102826297283
8,0.4378187382032001,83.725,0.6882209964096546,73.8,0.0,0.0747420818079263,0.02127640461549163
9,0.4105619163740249,84.6125,0.6487482972443104,75.1,0.0,0.06465735821984708,0.020665083546191454
10,0.3706193589974964,85.95,0.6428598202764988,75.7,0.0,0.062485912814736366,0.021482276497408748
11,0.3373179627316339,87.3125,0.6823548041284084,76.65,0.0,0.05792125384323299,0.019735261565074325
12,0.3173168355983401,88.25,0.6478014104068279,78.3,0.0,0.05780682107433677,0.020282943733036518
13,0.29748486242597066,89.375,0.7023377045989037,76.95,0.0,0.052491763373836875,0.019353300100192428
14,0.2780305201572085,89.8875,0.621124928817153,77.85,0.0,0.047323711682111025,0.020624133059754968
15,0.2485062126365919,90.9125,0.653914637863636,77.75,0.0,0.037292808992788196,0.019721826072782278
16,0.2511887901595661,90.6625,0.641118835657835,78.8,0.0,0.033137784153950633,0.018975749611854553
17,0.22318343699924528,91.8625,0.6506660226732492,78.85,0.0,0.031064164242707193,0.01768754026852548
18,0.2234022876336461,91.975,0.6948092672973871,78.2,0.0,0.025471798304351978,0.018233503680676222
19,0.19513607013320167,92.5125,0.6571736745536327,79.4,0.0,0.025697490375023335,0.018696828512474895
20,0.1821428355243471,93.325,0.661590401083231,80.6,0.0,0.025964358123019338,0.019604079890996218
21,0.17850620642540946,93.475,0.6621703710407019,79.75,0.0,0.012556761736050248,0.019910163013264537
22,0.1683108348931585,94.0625,0.6136401407420635,80.15,0.0,0.01803120574913919,0.02047137590125203
23,0.18123586428543878,93.2625,0.6710410248488188,79.4,0.0,0.011132080107927322,0.020238608587533236
24,0.16534908914140292,93.975,0.6377160139381886,79.6,0.0,0.008122771047055721,0.020702633308246732
25,0.1314798096815745,95.45,0.6994656436145306,80.0,0.0,0.0028622942045331,0.02114263130351901
26,0.12790736083000426,95.3625,0.6843940559774637,80.15,0.0,0.004209360107779503,0.022778773214668036
27,0.12152210149973158,95.525,0.743388008326292,79.35,0.0,0.005558389704674482,0.02229756349697709
28,0.17643407885990445,93.4,0.74386877566576,77.7,0.0,-0.006836398504674435,0.018874288303777575
29,0.12095882170020587,95.725,0.6724964641034603,80.8,0.0,-0.009618483483791351,0.020874015288427472
30,0.11927384717596902,95.8125,0.6849076151847839,80.1,0.0,-0.008029044605791569,0.02254571206867695
31,0.09331732840528564,97.0,0.7398605309426785,80.3,0.0,-0.011163211427628994,0.02355155721306801
32,0.12465052691007418,95.7,0.7490550875663757,79.45,0.0,-0.02217564918100834,0.022856644354760647
33,0.1099365423950884,96.1375,0.7109436802566051,80.1,0.0,-0.013377144001424313,0.02204439090564847
34,0.11423805959167935,95.9625,0.7446143217384815,80.35,0.0,-0.013648930937051773,0.02202594792470336
35,0.12384223701461913,95.8625,0.6803128831088543,80.7,0.0,-0.01615820825099945,0.022600910626351833
36,0.1103429039792409,96.3125,0.7225943375378847,80.4,0.0,-0.0235879709944129,0.02103238645941019
37,0.10515164648966184,96.2625,0.7413286119699478,80.0,0.0,-0.023561781272292137,0.022648445796221495
38,0.12181555728117625,95.5125,0.7380441911518574,78.75,0.0,-0.034198567271232605,0.024298631120473146
39,0.09477713260622252,96.625,0.6837577540427446,80.5,0.0,-0.031121142208576202,0.02265915973111987
40,0.080046487292127,97.15,0.7770248912274837,80.65,0.0,-0.03873414359986782,0.023614204954355955
41,0.08248586896511298,97.1625,0.6671315263956785,82.15,0.0,-0.037610867992043495,0.022587089333683252
42,0.07052264865192157,97.75,0.7164706755429506,80.15,0.0,-0.03137660585343838,0.02313286392018199
43,0.07466281344374967,97.3625,0.7176328934729099,81.6,0.0,-0.039197299629449844,0.024738137144595385
44,0.09360940840154414,96.6625,0.748871574178338,79.7,0.0,-0.04112169146537781,0.02292614709585905
45,0.08496548986387631,97.3,0.6986888945102692,81.55,0.0,-0.04029900021851063,0.02372211590409279
46,0.08355126290449075,97.075,0.6930282656103373,81.6,0.0,-0.03870144300162792,0.023702817503362894
47,0.08442040204647042,97.0125,0.6935780718922615,81.1,0.0,-0.04563029110431671,0.02450534561648965
48,0.08625725597616225,97.05,0.7082307226955891,80.8,0.0,-0.040360404178500175,0.02378152683377266
49,0.05884824295543016,97.9625,0.6976327262818813,81.9,0.0,-0.046126849949359894,0.024119153153151274
